,City Name,Latitude,Longitude,Temperature,Humidity,Clouds,Wind
155,De Aar,-30.65,24.01,42.47,48,0,4.05
156,Morant Bay,17.88,-76.41,80.6,57,20,3.36
157,Tomatlan,19.93,-105.25,69.2,79,0,2.37
158,Santa Isabel,4.71,-75.1,73.4,100,75,3.36
159,Hambantota,6.12,81.12,80.05,100,88,6.06
160,Pedernales,0.07,-80.05,73.43,91,76,3.15
161,Natitingou,10.31,1.38,77,44,0,2.24
162,Arlit,18.74,7.39,57.55,35,0,3.83
163,Hobyo,5.35,48.53,80.68,85,88,14.67
164,Monte Alegre,-2,-54.07,75.5,93,76,3.38
165,Calhoun,34.5,-84.95,46.4,65,90,5.82
166,Mahebourg,-20.41,57.7,75.2,88,40,2.24
167,Mbouda,5.63,10.25,64.61,85,24,1.36
168,Bang Saphan,11.21,99.51,84.2,83,0,4.7
169,Aketi,2.74,23.78,70.01,100,88,3.94
170,Avarua,-21.21,-159.78,77,88,90,9.17
171,Orel,47.02,29.78,35.6,100,90,10.29
172,Kaeo,-35.1,173.78,74.33,60,0,12.33
173,Lilongwe,-13.97,33.79,63.53,92,20,4.72
174,Hasaki,35.73,140.83,67.05,60,75,11.41
175,Gornopravdinsk,60.06,69.92,22.09,79,76,9.98
176,Husavik,50.56,-96.99,27.85,87,68,7.4
177,Champerico,16.38,-93.6,84.2,51,40,8.05
178,Aguada de Pasajeros,22.38,-80.85,68,82,0,8.05
179,Svetlogorsk,53.14,59.15,21.2,79,40,11.18
180,Grindavik,63.84,-22.43,41,80,90,33.33
181,Saint-Augustin,44.83,-0.61,49.21,93,90,10.29
182,Pouembout,-21.12,164.9,74.87,97,92,9.42
183,Faanui,-16.48,-151.75,82.75,99,44,18.7
184,Namibe,-15.19,12.15,77.44,100,80,5.73
185,Varkkallai,8.73,76.71,84.2,74,20,3.36
186,Kruisfontein,-34,24.73,60.79,90,0,11.43
187,Pozo Colorado,-23.49,-58.8,63.31,80,76,6.96
188,Airai,-8.93,125.41,77.66,87,20,1.7
189,Constitucion,23.99,-104.67,69.8,15,5,9.17
190,Ust-Tarka,55.56,75.71,25.55,93,80,17.47
191,Tabuk,17.41,121.44,75.95,53,8,3.15
192,Chimbote,-9.08,-78.59,67.9,97,56,4.38
193,Velyka Mykhaylivka,47.08,29.85,34.96,96,88,8.41
194,Alyangula,-13.85,136.42,88.91,85,8,13.67
195,Laguna,27.52,-110.01,69.43,40,92,4.61
196,Zdvinsk,54.7,78.67,24.47,94,80,17.47
197,Kinablangan,7.69,126.55,82.61,100,24,15.23
198,Zhigansk,66.77,123.37,14.66,66,48,9.19
199,Seminole,32.72,-102.64,64.33,34,1,10.29
200,Florianopolis,-27.6,-48.55,68,94,75,6.93
201,Huanren,41.26,125.37,55.39,68,0,7.85
202,Lubbock,33.58,-101.86,59.77,41,90,4.7
203,Hommersak,58.93,5.85,34.59,64,90,4.7
204,Turgenevo,54.84,46.32,27.31,92,88,15.9
205,Havoysund,71,24.66,24.8,85,90,16.11
206,Pucallpa,-8.38,-74.54,71.6,88,75,1.12
207,Shimoda,34.7,138.93,64.4,63,40,4.7
208,Clyde River,70.47,-68.59,-7.61,83,90,23.04
209,Puerto del Rosario,28.5,-13.86,62.6,77,32,20.8
210,Deputatskiy,69.3,139.9,2.42,80,24,3.94
211,Port Elizabeth,39.31,-74.98,32.36,79,1,7.96
212,Novaya Bryan,51.72,108.27,35.6,51,75,22.37
213,Saint George,39.45,22.34,42.8,87,20,4.7
214,Cherskiy,68.75,161.3,6.02,65,0,4.05
215,Kourou,5.16,-52.64,77,94,75,3.36
216,Trebinje,42.71,18.35,46.4,75,0,13.87
217,Merritt,50.11,-120.79,44.55,58,90,13.87
218,Dzhebariki-Khaya,62.22,135.8,26.41,84,88,4.27
219,Mar del Plata,-46.43,-67.52,60.34,52,92,19.48
220,Sobolevo,54.43,31.9,29.51,92,92,13.67
221,Cabo San Lucas,22.89,-109.91,69.13,72,5,9.17
222,Provideniya,64.42,-173.23,23,79,90,13.42
223,Salina Cruz,16.18,-95.2,76.09,77,0,4.05
224,Suntar,62.16,117.65,18.85,54,0,7.74
225,Gigmoto,13.78,124.39,80.41,98,80,15.23
226,Skibbereen,51.55,-9.27,50,100,75,11.41
227,Hammerfest,70.66,23.68,24.8,85,90,16.11
228,Berdigestyakh,62.1,126.7,24.65,69,88,9.19
229,Vanimo,-2.67,141.3,81.08,100,44,5.39
230,Houma,35.63,111.36,72.71,42,0,3.49
231,Aksehir,38.36,31.42,46.03,53,0,8.75
232,Castro,-42.48,-73.76,50.03,98,68,3.15
233,Padang,-0.92,100.36,82.66,100,24,2.15
234,Tasiilaq,65.61,-37.64,26.6,86,24,14.99
235,Maiduguri,11.84,13.15,71.41,36,0,6.4
236,Matagami,9.67,8.4,63.35,69,0,2.48
237,Timbuktu,16.77,-3.01,57.28,31,0,3.04
238,Geraldton,49.72,-86.95,28.4,92,90,5.82
239,Albert,50,2.65,37.4,93,90,6.85
240,Colombo,6.93,79.85,80.14,100,20,3.71
241,Moron,10.49,-68.2,77,83,40,8.05
242,Akdepe,42.05,59.39,44.56,66,0,6.93
243,Chiredzi,-21.05,31.67,69.2,99,92,7.63
244,Saint-Pierre,48.95,4.24,40.01,86,88,8.05
245,Lompoc,34.64,-120.46,52.14,71,1,9.17
246,Rocha,-34.48,-54.34,48.95,87,0,4.61
247,Saint-Leu,-21.15,55.28,74.26,73,0,6.93
248,Wasilla,61.58,-149.44,34.72,40,1,8.05
249,Comodoro Rivadavia,-45.87,-67.48,64.4,42,0,17.22
250,Voi,-3.4,38.57,66.05,97,92,1.59
251,San Quintin,17.54,120.52,84.2,48,75,9.17
252,Manicore,-5.81,-61.3,72.53,98,32,3.38
253,Gongzhuling,43.5,124.81,66.55,44,0,22.39
254,Coquimbo,-29.95,-71.34,53.6,93,0,5.82
255,Klaksvik,62.23,-6.59,37.4,55,44,27.51
256,Grand Gaube,-20.01,57.66,75.2,88,40,2.24
257,Ancud,-41.87,-73.83,50.44,91,64,2.71
258,Lake Havasu City,34.47,-114.34,66.2,11,90,16.11
259,Kahului,20.89,-156.47,76.91,61,40,16.11
260,Sao Joao da Barra,-21.64,-41.05,80.23,96,0,14.23
261,Eureka,40.8,-124.16,49.98,71,75,6.93
262,Flinders,-34.58,150.85,71.6,43,40,10.29
263,Teknaf,20.86,92.31,82.75,74,24,2.59
264,Nouakchott,18.08,-15.98,68.08,88,12,11.21
265,Bedele,8.46,36.35,59.8,72,88,2.71
266,Natal,-5.81,-35.21,78.8,88,40,4.7
267,Barranca,-10.75,-77.76,67.18,100,44,5.28
268,Neuquen,-38.95,-68.06,55.4,76,0,2.24
269,Nanortalik,60.14,-45.24,24.47,100,0,45.1
270,Taywarah,33.35,64.42,35.14,68,0,1.92
271,Derzhavinsk,51.1,66.31,18.94,90,68,11.65
272,Russell,-33.01,-68.8,59,58,0,1.92
273,Shelburne,44.08,-80.2,36.21,51,1,9.17
274,Uddevalla,58.35,11.94,26.6,79,80,8.05
275,Cayenne,4.94,-52.33,77,94,75,3.36
276,Puerto Madero,-34.61,-58.36,61.93,63,0,13.87
277,Mersing,2.43,103.84,82.16,87,48,8.97
278,Yangambi,0.77,24.47,71.9,99,88,2.15
279,Ang Thong,14.59,100.46,81.76,84,56,5.39
280,North Shore,49.51,-117.29,41,75,90,2.24
281,Puerto Carreno,6.19,-67.49,72.8,87,56,2.71
282,Ambilobe,-13.19,49.05,69.61,96,8,3.15
283,San Andres,13.32,122.68,80.9,98,24,16.02
284,Mokhsogollokh,61.4,128.95,26.14,68,64,8.97
285,Zig,40.13,-92.77,42.58,100,90,13.44
286,Fukue,35.03,136.69,59,72,0,5.82
287,Vardo,39.62,-77.74,36.9,60,1,6.93
288,Robore,-18.33,-59.76,62.41,85,8,5.73
289,Ruteng,-8.61,120.46,82.48,79,36,3.6
290,Young,-32.7,-57.63,55.43,86,24,9.42
291,Jinka,5.79,36.57,57.32,92,0,1.81
292,Tara,33,130.15,65.84,72,0,6.93
293,Aksu,52.04,76.93,26.6,79,0,15.66
294,Narkevychi,49.52,26.64,23.66,77,0,5.95
295,Presidencia Roque Saenz Pena,-26.79,-60.44,54.85,89,0,6.4
296,Marfino,56.07,37.56,30.97,92,90,11.18
297,Richards Bay,-28.77,32.06,60.47,100,0,3.83
298,Maryville,40.35,-94.87,43.23,100,90,8.05
299,Wilmington,39.75,-75.55,32.68,92,1,8.97
300,Sao Jose da Coroa Grande,-8.9,-35.15,75.77,100,92,2.71
301,Banda Aceh,5.56,95.32,80.59,94,20,4.38
302,Sabang,13.72,123.58,76.22,100,100,12.1
303,Puro,13.13,123.76,78.56,87,92,8.3
304,Codrington,-28.95,153.24,69.25,100,92,7.4
305,Sur,22.57,59.53,77.3,83,0,5.28
306,Tamandare,-8.28,-70.75,72.13,84,24,5.17
307,Champua,22.04,85.66,84.5,27,0,4.61
308,Labuhan,-2.54,115.51,78.38,90,76,3.27
309,Manitouwadge,49.12,-85.84,34.15,74,92,7.74
310,Fairbanks,64.84,-147.72,29.03,28,1,13.87
311,Pedregal,-32.96,-68.68,59,58,0,6.96
312,Mpika,-11.84,31.4,62.18,93,0,6.96
313,Oksfjord,70.24,22.35,24.8,85,90,16.11
314,Portland,45.52,-122.67,47.97,81,90,9.17
315,Opole Lubelskie,51.15,21.97,26.95,83,64,3.71
316,Dukat,42.44,22.31,36.04,99,92,1.7
317,Ajdabiya,30.75,20.22,53.81,46,0,10.42
318,Pingdu,36.79,119.95,71.6,43,0,17.9
319,Sitka,37.17,-99.65,70.46,30,92,15.46
320,Faya,18.39,42.45,54.48,37,0,6.4
321,Tessalit,20.2,1.01,51.38,32,0,2.71
322,Nador,35.17,-2.93,50.68,47,0,9.17
323,Warragul,-38.16,145.93,63.8,68,20,3.83
324,High Prairie,55.43,-116.48,17.41,77,80,3.49
325,Chapais,49.78,-74.86,24.8,58,1,4.7
326,Murgab,37.5,61.97,55.4,100,90,4.7
327,Adrar,27.87,-0.29,53.6,20,0,9.17
328,Lavrentiya,65.58,-170.99,24.2,100,88,11.99
329,Bella Vista,-28.51,-59.05,55.39,86,0,9.19
330,Quang Ngai,15.12,108.8,70.01,91,92,2.93
331,Banyo,6.75,11.81,68.8,53,36,2.59
332,Vila Velha,-3.71,-38.6,77,100,75,5.82
333,Yerbogachen,61.28,108.01,18.85,62,0,4.5
334,Gimli,50.63,-96.99,27.85,87,68,7.4
335,Saldanha,41.42,-6.55,34.91,85,0,3.71
336,Viedma,-40.81,-62.99,61.73,41,0,14.79
337,Madang,-5.21,145.81,80.45,95,56,0.58
338,Mae Sai,20.44,99.89,77,88,40,2.24
339,Guanica,17.97,-66.91,72.4,100,36,4.61
340,Touros,-5.2,-35.46,77.21,100,48,5.61
341,Sorland,67.67,12.69,24.8,100,75,4.7
342,Vestmanna,62.16,-7.17,37.4,47,48,33.33
343,Bodden Town,19.28,-81.25,77,78,20,11.41
344,Hovd,63.83,10.7,19.63,72,0,10.29
345,Neryungri,56.66,124.71,27.17,54,0,6.06
346,Port Keats,-14.25,129.55,90.62,78,8,2.93
347,Eresos,39.17,25.93,60.8,67,20,12.75
348,Santa Maria,-29.69,-53.81,66.2,88,75,9.17
349,Upernavik,72.79,-56.15,-13.11,100,12,6.17
350,Korhogo,9.46,-5.63,72.49,60,12,1.7
351,Tutoia,-2.76,-42.27,74.74,100,80,2.59
352,Yumen,40.29,97.04,57.01,43,0,9.75
353,Sovetskiy,56.76,48.47,31.67,98,88,13
354,Road Town,18.42,-64.62,71.6,100,1,5.82
355,Gympie,-26.2,152.66,74.42,86,92,7.07
356,North Bend,43.41,-124.22,47.23,87,1,2.59
357,Mukhen,48.19,136.14,49.67,71,24,9.75
358,Sao Bento do Sul,-26.25,-49.38,68,94,75,2.24
359,Atambua,-9.11,124.89,81.98,100,0,5.17
360,Luanda,-8.83,13.24,80.6,88,75,4.7
361,Mount Isa,-20.73,139.49,87.8,43,40,11.41
362,Mehamn,71.03,27.85,23,92,90,16.11
363,Parabel,58.71,81.5,26.45,80,68,10.76
364,Lasa,34.92,32.53,50,76,0,8.05
365,Tilichiki,60.47,166.1,9.76,81,0,4.16
366,Igrim,63.19,64.42,9.62,62,0,9.19
367,Paragominas,-3,-47.35,72.08,96,88,2.59
368,Sefophe,-22.18,27.97,71.6,78,0,4.7
369,Kieta,-6.22,155.63,83.11,98,24,7.96
370,Ahuimanu,21.44,-157.84,77,57,1,11.41
371,Otukpo,7.19,8.13,78.11,83,0,12.21
372,Talnakh,69.49,88.39,0.53,71,64,7.63
373,Fernie,49.5,-115.06,33.8,74,90,14.99
374,Paamiut,61.99,-49.67,20.6,100,0,28.43
375,Sungairaya,0.7,108.9,86.71,72,0,3.38
376,Willowmore,-33.3,23.49,37.39,82,0,2.26
377,Buraydah,26.33,43.97,62.6,48,5,2.93
378,Santiago del Estero,-27.8,-64.26,61.28,59,0,9.19
379,Kavieng,-2.57,150.8,86.35,98,12,6.73
380,Anloga,5.79,0.9,82.4,83,20,10.29
381,Chaozhou,23.66,116.62,71.6,64,75,4.47
382,Baghdad,33.3,44.38,55.4,54,0,5.82
383,Dourados,-22.22,-54.81,67.99,86,36,6.29
384,Monywa,22.12,95.13,78.38,76,24,12.33
385,Meulaboh,4.14,96.13,81.58,100,0,2.93
386,Cangucu,-31.39,-52.68,63.31,73,64,11.21
387,Filingue,14.35,3.32,70.69,32,0,7.63
388,Ulaangom,49.98,92.07,33.02,64,32,2.48
389,Coihaique,-45.58,-72.07,51.8,71,20,1.12
390,San Cristobal,-0.39,-78.55,53.6,81,75,8.05
391,Mareeba,-16.99,145.42,82.4,83,75,8.05
392,Bhagalpur,25.25,86.98,72.13,69,8,10.31
393,Lata,30.78,78.62,55.43,43,0,2.15
394,Pampa,35.54,-100.96,54.03,76,90,9.17
395,Broken Hill,-31.97,141.45,74.56,37,0,7.29
396,Concepcion del Uruguay,-32.48,-58.24,56.78,74,8,8.63
397,Fare,-16.7,-151.02,83.51,95,64,18.48
398,Palm Coast,29.55,-81.22,63.79,82,1,5.82
399,Kjollefjord,70.95,27.35,23.86,85,75,19.46
400,Nouadhibou,20.93,-17.03,64.4,77,36,20.8
401,Sao Francisco do Sul,-26.24,-48.64,68,94,75,2.24
402,Dingle,11,122.67,85.99,53,20,11.65
403,Staunton,38.15,-79.07,36.1,59,1,3.36
404,Ballitoville,-29.54,31.21,62.95,92,8,5.5
405,Grenaa,56.42,10.88,33.8,100,64,4.7
406,Jizan,16.89,42.56,77,73,0,4.7
407,Jalu,29.03,21.55,56.78,30,0,6.17
408,Jennersdorf,46.94,16.14,37.36,86,36,2.24
409,Melo,-32.37,-54.17,55.07,87,0,8.63
410,Guerrero Negro,27.97,-114.04,56.2,80,0,16.69
411,Sotnikovo,51.88,107.48,35.6,51,75,22.37
412,Bera,24.08,89.61,75.46,84,8,11.77
413,Mogadishu,2.04,45.34,82.48,98,88,18.81
414,Kamwenge,0.19,30.45,58,92,24,1.36
415,Rio Rancho,35.27,-106.63,49.48,32,75,14.99
416,Huarmey,-10.07,-78.15,64.88,85,12,2.59
417,Bograd,54.22,90.86,32,90,0,11.18
418,Lipari,38.47,14.95,51.8,62,40,3.36
419,Arbagar,51.94,116.28,37.07,100,88,11.32
420,Barcelos,41.53,-8.62,53.6,93,75,1.03
421,Bajil,38.23,-2.07,42.88,70,0,6.73
422,Calderitas,18.55,-88.26,78.8,78,75,12.44
423,Broome,52.47,1.45,41.41,86,92,5.82
424,Saint-Georges,46.12,-70.67,20.11,74,0,3.71
425,Bagan,54.1,77.67,23.03,92,48,15.79
426,Bathsheba,13.22,-59.52,77,83,40,16.11
427,Sorong,-0.86,131.25,80.23,100,64,10.98
428,Charagua,-19.79,-63.2,55.48,84,0,3.71
429,Aleksandrov Gay,50.14,48.57,14.03,80,32,3.38
430,Troitsko-Pechorsk,62.71,56.19,3.41,63,20,5.95
431,Lyuban,52.8,28,28.61,88,44,3.49
432,Erenhot,43.65,111.97,68.26,26,0,23.17
433,Sturgis,44.41,-103.51,28.53,86,1,8.05
434,Havre-Saint-Pierre,50.23,-63.6,23,100,40,4.7
435,Ulladulla,-35.36,150.48,71.6,43,40,10.29
436,Udachnyy,66.42,112.4,6.7,60,8,3.38
437,La Ronge,55.1,-105.3,24.8,92,90,14.99
438,Olinda,-2.03,-79.75,78.8,74,75,4.7
439,Salta,-24.79,-65.41,53.01,93,20,0.36
440,Calama,-22.46,-68.93,53.6,40,0,4.7
441,Te Anau,-45.41,167.72,53.63,93,88,11.65
442,Yar-Sale,66.83,70.83,-4.65,92,76,23.73
443,Alice Springs,-23.7,133.88,80.6,19,0,10.29
444,Bereza,51.73,33.88,22.18,91,48,5.84
445,Aldan,58.61,125.39,26.95,58,32,5.95
446,Vestmannaeyjar,63.44,-20.27,41.71,97,92,32.91
447,Plettenberg Bay,-34.05,23.37,61.78,100,0,6.4
448,Yuanping,38.72,112.71,63.08,51,0,5.95
449,Arraial do Cabo,-22.97,-42.02,77.93,88,36,15.9
450,Albufeira,37.09,-8.25,51.8,76,0,3.36
451,Benicarlo,40.42,0.43,55.39,98,0,21.5
452,Whitehorse,60.72,-135.06,19.4,44,75,13.87
453,Balabac,7.99,117.06,81.62,100,48,2.82
454,Boyuibe,-20.43,-63.28,54.4,88,0,4.27
455,Benidorm,38.54,-0.13,55.4,43,0,16.11
456,Nishihara,35.74,139.53,66.63,32,75,5.82
457,Bidor,4.11,101.29,76.03,88,75,4.7
458,Nchelenge,-9.35,28.74,63.71,100,76,2.04
459,Aykhal,65.95,111.51,6.2,68,12,4.16
460,Souillac,45.6,-0.6,44.4,93,90,9.17
461,Linxia,35.6,103.21,53.05,32,0,2.71
462,Kralendijk,12.15,-68.27,78.8,83,92,14.99
463,San Pedro,-33.68,-59.66,56.2,91,44,8.08
464,Pisco,-13.71,-76.2,69.8,83,0,10.29
465,Aripuana,-9.17,-60.63,75.46,93,12,2.04
466,San Vicente,13.64,-88.78,78.8,69,0,2.24
467,Kysyl-Syr,63.9,122.77,15.61,57,8,9.75
468,San Clemente,33.43,-117.61,59.76,62,1,12.75
469,Luganville,-15.51,167.18,83.2,100,24,3.83
470,Ixtapa,20.71,-105.21,73.4,100,5,3.36
471,Havelock,34.88,-76.9,42.08,81,5,13.87
472,Tchamba,9.03,1.42,69.88,79,8,3.04
473,Muisne,0.61,-80.02,72.58,94,44,2.93
474,Adeje,5.68,5.76,75.19,96,0,6.62
475,Hay River,60.82,-115.79,-4.01,70,5,2.24
476,Nacala,-14.56,40.69,80.45,100,80,1.59
477,Rafaela,-31.25,-61.49,55.03,57,64,4.94
478,Ust-Kuyga,70,135.55,19.03,88,24,4.16
479,San Patricio,-26.98,-56.83,61.15,85,0,4.61
